participant_id,version,summary_ko
participant_RECORD_20250515__1_AUG001,v1,"본 참가자의 주요 감정은 ‘싫음’으로 분류되었습니다. 정서적으로는 부정적 반응이 나타났으나, 집중과 흥미 수준은 모두 높은 편으로 보입니다. 이는 감정적 부정 반응과 인지적 몰입 수준이 상반된 양상을 보이는 사례로 해석됩니다. 감정적 불쾌감이 존재함에도 과제 수행과 관련된 주의 집중이 유지된 것으로 보입니다."
participant_RECORD_20250515__1_AUG001,v2,"참가자는 ‘싫음’ 감정을 보고하였으나, 전반적인 뇌파 반응은 안정적인 수준으로 나타났습니다. 집중과 흥미는 높은 편이며, 스트레스는 낮은 수준으로 유지된 것으로 보입니다. 전반적으로 부정적 감정 인식에도 불구하고 인지적 안정과 몰입이 유지된 상태로 보입니다."
participant_RECORD_20250515__1_AUG001,v3,"‘싫음’ 감정이 관찰되었으나, 인지적 참여와 주의 집중은 높은 수준으로 유지된 것으로 해석됩니다. 후반 단계에서는 이완과 집중이 동시에 높게 나타나, 감정적 자극 속에서도 일정한 조절이 이루어진 것으로 보입니다. 흥미와 각성 또한 높은 편으로, 외부 자극에 대한 반응성과 주의 지속이 병행된 반응으로 해석됩니다. 이러한 결과는 정서적 부정 반응과 인지적 조절 체계 간의 상호작용이 안정적으로 작동한 것으로 보입니다."
participant_RECORD_20250515__1_AUG001,v4,"주요 감정은 ‘싫음’으로 분류됩니다. 스트레스는 낮은 편이며, 흥미와 집중은 높은 수준으로 유지된 것으로 보입니다. 이완은 초기에는 낮았으나 후반 단계에서 높게 나타난 것으로 해석됩니다. 각성은 전반적으로 높은 수준을 보입니다. 전반적으로 낮은 스트레스와 높은 집중이 동반된 안정적 상태로 평가됩니다."
participant_RECORD_20250515__1_AUG002,v1,"주요 감정은 ‘두려움’으로 분류되었으나, 집중과 흥미 수준은 전반적으로 높은 편으로 보입니다. 정서적 긴장은 낮은 편이며, 인지적 참여는 일정하게 유지된 것으로 해석됩니다. 감정적 불안 요인이 존재하더라도 주의 집중과 과제 수행이 안정적으로 유지된 것으로 보입니다."
participant_RECORD_20250515__1_AUG002,v2,"참가자는 ‘두려움’ 감정을 나타냈으나, 전반적인 스트레스 수준은 낮고 집중과 흥미는 높은 편으로 해석됩니다. 이완 지표가 마지막에 급격히 상승하며 급진적인 안정 과정이 이루어진 것으로 보입니다. 감정적 자극이 있었음에도 인지적 몰입과 정서적 안정이 함께 유지된 긍정적 반응으로 해석됩니다."
participant_RECORD_20250515__1_AUG002,v3,"‘두려움’ 감정 상태에서 인지적 집중과 흥미가 높은 수준으로 유지되어, 인지적 조절이 원활하게 작동한 것으로 해석됩니다. 후반 단계에서 이완과 각성이 동시에 높게 나타나, 정서적 긴장 완화와 집중의 공존이 확인됩니다. 이러한 반응은 두려움 자극 상황에서 인지적 통제 체계가 안정적으로 작동한 사례로 보입니다."
participant_RECORD_20250515__1_AUG002,v4,"주요 감정은 ‘두려움’으로 분류됩니다. 스트레스는 낮은 편이며, 집중과 흥미는 높은 수준으로 유지된 것으로 보입니다. 이완과 각성은 후반 단계에서 함께 높게 나타난 것으로 해석됩니다. 전반적으로 안정적이며 인지적 몰입이 유지된 상태로 보입니다."
participant_RECORD_20250515__1_AUG003,v1,"주요 감정은 ‘기쁨’으로 분류되었으며, 각성 및 집중 수준은 높은 편으로 나타났습니다. 이완 수준은 초반에는 낮았으나 후반 단계에서 높아지는 변화가 확인됩니다. 정서적으로는 긍정적 반응이지만, 흥미가 후반부에 다소 감소하여 감정적 고양과 인지적 안정 간의 차이가 나타난 것으로 해석됩니다."
participant_RECORD_20250515__1_AUG003,v2,"참가자는 ‘기쁨’ 상태에서 전반적으로 긍정적이고 안정된 반응을 보인 것으로 해석됩니다. 집중과 각성은 높은 수준으로 유지되며, 이완은 후반 단계에서 상승해 균형이 형성된 것으로 보입니다. 감정적 활력과 인지적 조절이 조화를 이루어 전반적인 심리적 안정 상태로 평가됩니다."
